"","c.GUERRERO...1L...BAJA.CALIFORNIA....2L..PUEBLA...2L...BAJA.CALIFORNIA.SUR....1L.."
"GUERRERO",1
"BAJA CALIFORNIA",2
"PUEBLA",2
"BAJA CALIFORNIA SUR",1
"CIUDAD DE MÉXICO",3
"CHIAPAS",1
"MÉXICO",4
"CHIHUAHUA",2
"TLAXCALA",1
"SAN LUIS POTOSÍ",2
"ZACATECAS",1
"OAXACA",1
"AGUASCALIENTES",1
"GUANAJUATO",2
"NAYARIT",1
"VERACRUZ DE IGNACIO DE LA LLAVE",2
"YUCATÁN",1
"COAHUILA DE ZARAGOZA",2
"NUEVO LEÓN",2
"TAMAULIPAS",2
"MORELOS",1
"SINALOA",2
"MICHOACÁN DE OCAMPO",2
"JALISCO",2
"CAMPECHE",1
"TABASCO",2
"QUINTANA ROO",1
"HIDALGO",2
"SONORA",2
"QUERÉTARO",1
"DURANGO",1
"COLIMA",1
